step,time,loading,path_conjugate_stress,cauchy_11,cauchy_22,cauchy_33,cauchy_12,cauchy_23,cauchy_13,kirchhoff_11,kirchhoff_22,kirchhoff_33,kirchhoff_12,kirchhoff_23,kirchhoff_13,green_lagrange_11,green_lagrange_22,green_lagrange_33,green_lagrange_12,green_lagrange_23,green_lagrange_13,euler_almansi_11,euler_almansi_22,euler_almansi_33,euler_almansi_12,euler_almansi_23,euler_almansi_13,material_log_11,material_log_22,material_log_33,material_log_12,material_log_23,material_log_13,spatial_log_11,spatial_log_22,spatial_log_33,spatial_log_12,spatial_log_23,spatial_log_13,equivalent_plastic_strain,yield_residual,A_1111,A_1122,A_1212,D_1111,D_1122,D_1212
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-367.4234614174767,271135.06666666665,110747.46666666666,80193.8,271135.06666666665,110747.46666666666,80193.8
1,0.0025,0.00025,20.048450000000003,0.003341408342703689,-0.0016707041624485443,-0.0016707041624485443,20.048450000000003,0.0,0.0,0.003341408342703689,-0.0016707041624485443,-0.0016707041624485443,20.048450000000003,0.0,0.0,0.0,3.125000003212364e-08,0.0,0.000125,0.0,0.0,0.0,-3.125000003212364e-08,0.0,0.000125,0.0,0.0,-1.5624999837223924e-08,1.5624999869365215e-08,0.0,0.00012499999869789257,0.0,0.0,1.5624999869365215e-08,-1.5624999837223924e-08,0.0,0.00012499999869789257,0.0,0.0,0.0,-339.07067122757627,271135.0694511736,110747.46778046944,80193.8,271135.0644390611,110747.4644390611,80193.80167070415
2,0.005,0.0005,40.096900000000005,0.013365633335201554,-0.006682816667600777,-0.006682816667600777,40.096900000000005,0.0,0.0,0.013365633335201554,-0.006682816667600777,-0.006682816667600777,40.096900000000005,0.0,0.0,0.0,1.2500000001747225e-07,0.0,0.00025,0.0,0.0,0.0,-1.2500000001747225e-07,0.0,0.00025,0.0,0.0,-6.249999739589403e-08,6.249999741330553e-08,0.0,0.0002499999895833903,0.0,0.0,6.249999741330553e-08,-6.249999739589403e-08,0.0,0.0002499999895833903,0.0,0.0,0.0,-310.7178792656265,271135.0778046944,110747.47112187777,80193.8,271135.05775624444,110747.45775624443,80193.80668281666
3,0.0075,0.00075,60.14535,0.030072674995300197,-0.015036337497650099,-0.015036337497650099,60.14535,0.0,0.0,0.030072674995300197,-0.015036337497650099,-0.015036337497650099,60.14535,0.0,0.0,0.0,2.812499999560458e-07,0.0,0.000375,0.0,0.0,0.0,-2.812499999560458e-07,0.0,0.000375,0.0,0.0,-1.4062498681630059e-07,1.4062498677244707e-07,0.0,0.00037499996484371224,0.0,0.0,1.4062498677244707e-07,-1.4062498681630059e-07,0.0,0.00037499996484371224,0.0,0.0,0.0,-282.3650837595783,271135.0917272292,110747.47669089166,80193.8,271135.0466182167,110747.44661821667,80193.8150363375
4,0.01,0.001,80.19380000000001,0.05346253332299962,-0.026731266670403108,-0.026731266670403108,80.19380000000001,0.0,0.0,0.05346253332299962,-0.026731266670403108,-0.026731266670403108,80.19380000000001,0.0,0.0,0.0,4.999999999588667e-07,0.0,0.0005,0.0,0.0,0.0,-4.999999999588667e-07,0.0,0.0005,0.0,0.0,-2.4999995833330444e-07,2.499999582921724e-07,0.0,0.000499999916666693,0.0,0.0,2.499999582921724e-07,-2.4999995833330444e-07,0.0,0.000499999916666693,0.0,0.0,0.0,-254.0122829373828,271135.11121877783,110747.4844875111,80193.8,271135.03102497786,110747.43102497776,80193.82673126667
5,0.0125,0.0012500000000000002,100.24225000000003,0.08353520833610642,-0.04176760416805321,-0.04176760416805321,100.24225000000003,0.0,0.0,0.08353520833610642,-0.04176760416805321,-0.04176760416805321,100.24225000000003,0.0,0.0,0.0,7.812500000259348e-07,0.0,0.0006250000000000001,0.0,0.0,0.0,-7.812500000259348e-07,0.0,0.0006250000000000001,0.0,0.0,-3.90624898274995e-07,3.9062489830078084e-07,0.0,0.000624999837239674,0.0,0.0,3.9062489830078084e-07,-3.90624898274995e-07,0.0,0.000624999837239674,0.0,0.0,0.0,-225.6594750269919,271135.13627934025,110747.49451173612,80193.8,271135.01097652776,110747.41097652778,80193.84176760416
6,0.015,0.0015,120.2907,0.12029069999900739,-0.060145350008407,-0.060145350008407,120.2907,0.0,0.0,0.12029069999900739,-0.060145350008407,-0.060145350008407,120.2907,0.0,0.0,0.0,1.125000000046228e-06,0.0,0.00075,0.0,0.0,0.0,-1.125000000046228e-06,0.0,0.00075,0.0,0.0,-5.624997890626139e-07,5.624997891086392e-07,0.0,0.0007499997187501743,0.0,0.0,5.624997891086392e-07,-5.624997890626139e-07,0.0,0.0007499997187501743,0.0,0.0,0.0,-197.3066582563581,271135.16690891667,110747.50676356666,80193.8,271134.9864728667,110747.38647286667,80193.86014535
7,0.0175,0.0017500000000000003,140.33915000000002,0.16372900832950915,-0.08186450417365787,-0.08186450417365787,140.33915000000002,0.0,0.0,0.16372900832950915,-0.08186450417365787,-0.08186450417365787,140.33915000000002,0.0,0.0,0.0,1.531250000019746e-06,0.0,0.0008750000000000001,0.0,0.0,0.0,-1.531250000019746e-06,0.0,0.0008750000000000001,0.0,0.0,-7.656246091850467e-07,7.656246092600677e-07,0.0,0.0008749995533857512,0.0,0.0,7.656246092600677e-07,-7.656246091850467e-07,0.0,0.0008749995533857512,0.0,0.0,0.0,-168.95383085343482,271135.2031075069,110747.52124300276,80193.8,271134.9575139944,110747.35751399443,80193.88186450418
8,0.02,0.002,160.38760000000002,0.21385013332761169,-0.10692506666380584,-0.10692506666380584,160.38760000000002,0.0,0.0,0.21385013332761169,-0.10692506666380584,-0.10692506666380584,160.38760000000002,0.0,0.0,0.0,1.999999999946489e-06,0.0,0.001,0.0,0.0,0.0,-1.999999999946489e-06,0.0,0.001,0.0,0.0,-9.999993333336011e-07,9.999993332806955e-07,0.0,0.0009999993333337563,0.0,0.0,9.999993332806955e-07,-9.999993333336011e-07,0.0,0.0009999993333337563,0.0,0.0,0.0,-140.6009910461766,271135.24487511115,110747.53795004445,80193.8,271134.9240999111,110747.32409991111,80193.90692506667
9,0.0225,0.00225,180.43605,0.2706540750111216,-0.1353270374966575,-0.1353270374966575,180.43605,0.0,0.0,0.2706540750111216,-0.1353270374966575,-0.1353270374966575,180.43605,0.0,0.0,0.0,2.5312500000485016e-06,0.0,0.001125,0.0,0.0,0.0,-2.5312500000485016e-06,0.0,0.001125,0.0,0.0,-1.265623932129986e-06,1.2656239321786308e-06,0.0,0.0011249990507821667,0.0,0.0,1.2656239321786308e-06,-1.265623932129986e-06,0.0,0.0011249990507821665,0.0,0.0,0.0,-112.24813706253937,271135.29221172916,110747.55688469166,80193.8,271134.88623061666,110747.28623061666,80193.9353270375
