step,time,loading,path_conjugate_stress,cauchy_11,cauchy_22,cauchy_33,cauchy_12,cauchy_23,cauchy_13,kirchhoff_11,kirchhoff_22,kirchhoff_33,kirchhoff_12,kirchhoff_23,kirchhoff_13,green_lagrange_11,green_lagrange_22,green_lagrange_33,green_lagrange_12,green_lagrange_23,green_lagrange_13,euler_almansi_11,euler_almansi_22,euler_almansi_33,euler_almansi_12,euler_almansi_23,euler_almansi_13,material_log_11,material_log_22,material_log_33,material_log_12,material_log_23,material_log_13,spatial_log_11,spatial_log_22,spatial_log_33,spatial_log_12,spatial_log_23,spatial_log_13,equivalent_plastic_strain,yield_residual,A_1111,A_1122,A_1212,D_1111,D_1122,D_1212
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-367.4234614174767,271135.06666666665,110747.46666666666,80193.8,271135.06666666665,110747.46666666666,80193.8
1,0.0025,0.00025,60.15287004848708,40.101913365694514,-20.050956682792567,-20.050956682792567,0.0,0.0,0.0,40.10191336569452,-20.05095668279257,-20.05095668279257,0.0,0.0,0.0,0.0002500625104180365,-0.00012498437630198422,-0.00012498437630198422,0.0,0.0,0.0,0.0002499375104154655,-0.00012501562630207186,-0.00012501562630207186,0.0,0.0,0.0,0.0002500000000000676,-0.00012499999999998225,-0.00012499999999998225,0.0,0.0,0.0,0.0002500000000000676,-0.00012499999999998225,-0.00012499999999998225,0.0,0.0,0.0,0.0,-318.30884868989716,270986.1790771279,110720.25512359623,80193.79999999999,271081.6041322194,110734.0960205247,80193.8050125302
2,0.005,0.0005,120.32078771445475,80.21385847630317,-40.10692923815159,-40.10692923815159,0.0,0.0,0.0,80.21385847630317,-40.10692923815159,-40.10692923815159,0.0,0.0,0.0,0.0005002500833540813,-0.0002499375104153545,-0.0002499375104153545,0.0,0.0,0.0,0.000499750083312378,-0.0002500625104180365,-0.0002500625104180365,0.0,0.0,0.0,0.0004999999999999106,-0.00024999999999998976,-0.00024999999999998976,0.0,0.0,0.0,0.0004999999999999106,-0.00024999999999998976,-0.00024999999999998976,0.0,0.0,0.0,0.0,-269.18194963409366,270837.38260311953,110693.03862687702,80193.8,271028.1415910885,110720.71534597946,80193.82005179267
3,0.0075,0.00075,180.50376428226633,120.33584285485016,-60.167921427416175,-60.167921427416175,0.0,0.0,0.0,120.33584285485016,-60.167921427416175,-60.167921427416175,0.0,0.0,0.0,0.000750562781355546,-0.00037485941014969715,-0.00037485941014969715,0.0,0.0,0.0,0.0007494377811446129,-0.00037514066016286485,-0.00037514066016286485,0.0,0.0,0.0,0.0007500000000000456,-0.000375000000000038,-0.000375000000000038,0.0,0.0,0.0,0.0007500000000000456,-0.000375000000000038,-0.000375000000000038,0.0,0.0,0.0,0.0,-220.04275503642205,270688.67718658195,110665.81717524726,80193.8,270974.67903658835,110707.32463885099,80193.84512029609
4,0.01,0.001,240.70181104084367,160.46787402724098,-80.23393701360267,-80.23393701360267,0.0,0.0,0.0,160.46787402724098,-80.23393701360267,-80.23393701360267,0.0,0.0,0.0,0.0010010006670001514,-0.000499750083312489,-0.000499750083312489,0.0,0.0,0.0,0.0009990006663335715,-0.0005002500833540813,-0.0005002500833540813,0.0,0.0,0.0,0.001000000000000018,-0.0004999999999999848,-0.0004999999999999848,0.0,0.0,0.0,0.001000000000000018,-0.0004999999999999848,-0.0004999999999999848,0.0,0.0,0.0,0.0,-170.89125567951626,270540.06276949425,110638.59076744388,80193.8,270921.2164620321,110693.92389495672,80193.88022055132
5,0.0125,0.0012500000000000002,300.91493928395187,200.60995952267697,-100.3049797612749,-100.3049797612749,0.0,0.0,0.0,200.60995952267703,-100.30497976127492,-100.30497976127492,0.0,0.0,0.0,0.0012515638028975928,-0.0006246095377095418,-0.0006246095377095418,0.0,0.0,0.0,0.0012484388012700132,-0.0006253907878112086,-0.0006253907878112086,0.0,0.0,0.0,0.0012500000000000501,-0.000624999999999975,-0.000624999999999975,0.0,0.0,0.0,0.0012500000000000501,-0.000624999999999975,-0.000624999999999975,0.0,0.0,0.0,0.0,-121.72744234205564,270391.5392938739,110611.3594022029,80193.79999999999,270867.753860731,110680.51311011187,80193.92535507091
6,0.015,0.0015,361.1431603100217,240.76210687338428,-120.38105343663744,-120.38105343663744,0.0,0.0,0.0,240.76210687338434,-120.38105343663747,-120.38105343663747,0.0,0.0,0.0,0.0015022522516886516,-0.0007494377811445019,-0.0007494377811445019,0.0,0.0,0.0,0.0014977522483136108,-0.000750562781355546,-0.000750562781355546,0.0,0.0,0.0,0.0015000000000001382,-0.0007499999999999389,-0.0007499999999999389,0.0,0.0,0.0,0.0015000000000001382,-0.0007499999999999389,-0.0007499999999999389,0.0,0.0,0.0,0.0,-72.55130579891022,270243.1067017762,110584.12307825907,80193.8,270814.29122599494,110667.09228012926,80193.98052636952
7,0.0175,0.0017500000000000003,421.3864854221668,280.92432361477785,-140.46216180738895,-140.46216180738895,0.0,0.0,0.0,280.92432361477785,-140.46216180738895,-140.46216180738895,0.0,0.0,0.0,0.0017530660760451955,-0.0008742348214192397,-0.0008742348214192397,0.0,0.0,0.0,0.001746941069792618,-0.0008757660718100579,-0.0008757660718100579,0.0,0.0,0.0,0.001750000000000037,-0.0008749999999999818,-0.0008749999999999818,0.0,0.0,0.0,0.001750000000000037,-0.0008749999999999818,-0.0008749999999999818,0.0,0.0,0.0,0.0,-23.36283682112645,270094.76493529556,110556.88179434623,80193.8,270760.8285511317,110653.66140081939,80194.04573696354
8,0.02,0.002,450.59507442063796,300.39671628042527,-150.19835814021266,-150.19835814021266,0.0,0.0,0.0,300.39671628042527,-150.19835814021266,-150.19835814021266,0.0,0.0,0.0,0.0020040053386709555,-0.0009990006663334605,-0.0009990006663334605,0.0,0.0,0.0,0.001996005328004258,-0.0010010006670001514,-0.0010010006670001514,0.0,0.0,0.0,0.002000000000000019,-0.000999999999999994,-0.000999999999999994,0.0,0.0,0.0,0.002000000000000019,-0.000999999999999994,-0.000999999999999994,0.0,0.0,0.0,0.00012906121265308105,0.0,165259.87139655754,163040.5621694035,75024.00489205403,165621.83800937067,163203.68427903423,75024.30518843791
9,0.0225,0.00225,451.72493185654434,301.14995457102185,-150.57497728552252,-150.57497728552252,0.0,0.0,0.0,301.1499545710218,-150.5749772855225,-150.5749772855225,0.0,0.0,0.0,0.002255070102300638,-0.0011237353236850933,-0.0011237353236850933,0.0,0.0,0.0,0.002244945085214667,-0.0011262665747528988,-0.0011262665747528988,0.0,0.0,0.0,0.002249999999999975,-0.0011250000000000387,-0.0011250000000000387,0.0,0.0,0.0,0.002249999999999975,-0.0011250000000000387,-0.0011250000000000387,0.0,0.0,0.0,0.0003748642885023531,-1.1368683772161603e-13,165168.8173492238,163024.04383460202,70919.91034414984,165612.60191832596,163207.54908626594,70911.09490462279
